AI CYBERATTACK,DATE ARTICLE,DESCRIPTION (ABSTRACT),KEYWORDS (5 ),SECTOR,SOURCE  URL,THREAT ACTOR,TITLE,TYPE OF INCIDENT
N/A,N/A,N/A,N/A,N/A,N/A,ALPHV,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,APT73,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,ArcusMedia,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,BlackBox,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,BlackBox Attack,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,BlackIceMalware,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,CloudSorcerer,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,CortexLock,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,CVE-2024-4879,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,CVE-2024-5217,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,DarkAI-Broker,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,DarkGPT,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,DarkScraper,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,EGAN,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,Evolutional GAN,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,GandCrab,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,NeuralSpyware,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,Philadelphia,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,PumpAI,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,ServiceNow RCE,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,ShadowLedger,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,ShadowPatch,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,Silver,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,SmokeLoader,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,Stucx Team,N/A,N/A
